"country","year","iso2","gdp.per.capita","fdi.gdp","trade.gdp"
"Argentina",2015,"AR",10490.0195683235,2.01107628387015,22.8566082644851
"Australia",2015,"AU",54941.9114575236,2.72004393430869,40.8147476586503
"Burkina Faso",2015,"BF",626.362194376235,1.50148840536211,63.6007021767223
"Brazil",2015,"BR",11322.1466804372,4.14124265413661,26.9559135362429
"Canada",2015,"CA",50109.8752757682,3.52280471833509,65.5489169481516
"Chile",2015,"CL",14907.1163933546,8.44008374788377,59.4666278786579
"China",2015,"CN",6496.62387207573,2.19156509626215,40.4623652290393
"Germany",2015,"DE",45253.5960944992,1.56311434730935,85.9938604994692
"Spain",2015,"ES",30461.3624098423,2.12070289520166,63.9061990128658
"Ethiopia",2015,"ET",487.290010568137,3.36247479840909,39.6561241449515
"France",2015,"FR",41689.7079785337,1.4369369808924,61.0635194005404
"United Kingdom",2015,"GB",41183.933841816,2.04294664774763,56.8522475935995
"Ghana",2015,"GH",1685.98612144005,8.50302271413812,99.2482828705072
"Indonesia",2015,"ID",3827.54830741942,2.29654364204368,41.8735519504536
"Israel",2015,"IL",33117.9652082667,3.84422040456482,58.4316131465952
"India",2015,"IN",1758.04337612882,2.08402837660969,42.1981135837184
"Italy",2015,"IT",33911.9338362754,0.712675868171889,57.1261405437763
"Jordan",2015,"JO",3297.89441163032,3.39785908148493,98.0780329769376
"Japan",2015,"JP",47082.6885940638,0.127433093245314,35.5947617658213
"Kenya",2015,"KE",1107.91805611762,0.97184942569406,44.3775450648384
"Korea, Rep.",2015,"KR",24870.7708964387,0.296804076438574,83.7121215269455
"Lebanon",2015,"LB",7044.60739341358,4.99781578964391,121.930215746393
"Mexico",2015,"MX",9612.96469760968,2.88272801924399,72.2323342586788
"Malaysia",2015,"MY",10739.5383286163,3.70008222853672,134.155076248732
"Nigeria",2015,"NG",2562.52221567701,0.650345417194235,21.1243510431872
"Peru",2015,"PE",5936.01783967867,4.13140417620701,45.0084394558252
"Philippines",2015,"PH",2615.65918578273,1.92611162697168,62.6900087717618
"Pakistan",2015,"PK",1140.00279734428,0.598044891255462,27.6042920579542
"Poland",2015,"PL",14641.5679360228,2.94697591480342,95.9511393464535
"West Bank and Gaza",2015,"PS",2541.31973769943,0.946316464521455,77.9270890870354
"Russian Federation",2015,"RU",11144.5968950938,0.501731047377766,49.2710679869257
"Senegal",2015,"SN",1054.98368503164,3.00515743503324,75.2954862489696
"Turkey",2015,"TR",13894.5998675947,2.04216129206029,49.2888786699348
"Tanzania",2015,"TZ",835.97094587663,4.29685937275051,47.9652623802463
"Ukraine",2015,"UA",2828.88539029976,3.35050846247305,107.081663770075
"Uganda",2015,"UG",653.872721209377,1.93307376430526,45.9296361743136
"United States",2015,"US",51722.0969458768,2.80629194515522,28.0018604343778
"Vietnam",2015,"VN",1684.69149023709,6.10636115617447,178.767414715772
"South Africa",2015,"ZA",7605.39536715871,0.479240183135738,61.8275803572509
